Actividad_500	MW	GD	nAT	nSK	nBT	nBO	RBN	nDB	nTB	nAB	nH	nC	nN	nO	nP	nS	nF	nCL	nBR	nI	nB	nHM	nHet	nX	H%	C%	N%	O%	X%	nStructures	totalcharge	nCIC	nCIR	TRS	Rbrid	NRS	nR03	nR04	nR05	nR06	nR07	nR08	nR09	nR10	nR11	nR12	Hy	AMR	TPSA(NO)	TPSA(Tot)	MLOGP	ALOGP	SAtot	SAacc	SAdon	Vx	VvdwMG	VvdwZAZ	BLTF96	BLTD48	BLTA96	Ro5	DLS_01	DLS_02	DLS_03	DLS_04	DLS_05	DLS_06	DLS_07	DLS_cons	LLS_01	LLS_02	CMC-80	CMC-50	Inflammat-80	Inflammat-50	Depressant-80	Depressant-50	Psychotic-80	Psychotic-50	Hypertens-80	Hypertens-50	Hypnotic-80	Hypnotic-50	Neoplastic-80	Neoplastic-50	Infective-80	Infective-50
0	45503	736	57	30	59	32	9	3	0	11	27	20	4	4	0	1	0	1	0	0	0	2	10	1	473684	350877	70175	70175	17544	1	0	3	3	17	0	3	0	0	1	2	0	0	0	0	0	0	-2499	1152648	9353	10191	18947	3099	5.738.758	1167726	180108	5419767	2254987	39272	-30005	-312	-31247	0	1	8333	8333	1	1	1	1	9524	3333	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
0	28784	1242	36	18	37	19	2	2	0	6	18	13	1	2	0	1	0	1	0	0	0	2	5	1	50	361111	27778	55556	27778	1	0	2	2	12	0	2	0	0	0	2	0	0	0	0	0	0	-709	741897	3738	4576	27163	38081	3.708.778	458315	0	3483721	1461525	25222	-36989	-39005	-39463	0	1	1	1	1	5	1	1	9286	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0
1	51415	66	70	34	73	37	7	3	0	6	36	24	3	5	0	1	0	1	0	0	0	2	10	1	514286	342857	42857	71429	14286	1	0	4	4	21	0	4	1	0	0	3	0	0	0	0	0	0	-3045	1318538	9039	9877	20925	38471	6.851.429	1309083	426833	6250166	2595314	46353	-31686	-33078	-33225	0	75	8333	8333	9	1	8333	1	8786	3333	875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	54123	619	77	36	80	39	7	3	0	6	41	26	4	4	0	1	0	1	0	0	0	2	10	1	532468	337662	51948	51948	12987	1	0	4	4	24	0	4	0	0	0	4	0	0	0	0	0	0	-7167	1442578	734	8178	2498	37224	7.250.142	913493	0	6786545	2815141	50034	-35133	-36931	-3728	0	75	8333	8333	9	1	8333	1	8786	3333	875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	49815	682	69	33	72	36	6	3	0	6	36	24	3	4	0	1	0	1	0	0	0	2	9	1	521739	347826	43478	57971	14493	1	0	4	4	24	0	4	0	0	0	4	0	0	0	0	0	0	-7211	1309479	7016	7854	28408	45288	6.487.762	88225	0	6152658	2555352	45474	-38047	-40187	-40708	0	1	8333	1	1	1	1	1	9762	3333	875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	40097	862	51	26	53	28	5	3	0	6	25	18	2	4	0	1	0	1	0	0	0	2	8	1	490196	352941	39216	78431	19608	1	0	3	3	17	0	3	0	0	1	2	0	0	0	0	0	0	-6844	1008958	6692	753	2297	39618	5.043.548	851006	0	4762957	1985802	3523	-33425	-35022	-3527	0	1	1	1	1	1	1	1	1	3333	1	1	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0
0	45503	736	57	30	59	32	9	3	0	11	27	20	4	4	0	1	0	1	0	0	0	2	10	1	473684	350877	70175	70175	17544	1	0	3	3	17	0	3	0	0	1	2	0	0	0	0	0	0	-2499	1152648	9353	10191	18947	3099	5.738.758	1167726	180108	5419767	2254987	39272	-30005	-312	-31247	0	1	8333	8333	1	1	1	1	9524	3333	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
1	42143	82	44	28	47	31	3	2	0	11	16	17	3	2	0	1	5	0	0	0	0	1	11	5	363636	386364	68182	45455	113636	1	0	4	5	20	1	3	1	0	1	2	0	0	1	0	0	0	-1818	918113	6606	7444	33715	42042	417.441	1372951	16663	4190698	175127	31766	-42558	-45229	-46015	0	1	1	1	8	5	1	1	9	3333	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0
1	42242	82	43	28	46	31	3	2	0	11	15	16	4	2	0	1	5	0	0	0	0	1	12	5	348837	372093	93023	46512	116279	1	0	4	5	20	1	3	1	0	1	2	0	0	1	0	0	0	-1464	892824	7895	8733	23697	34821	4.121.215	1540806	16663	4122425	1723289	31136	-34042	-35712	-35997	0	1	1	1	8	5	1	1	9	5	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0
1	45194	739	50	29	51	30	8	3	1	6	21	18	3	3	0	1	3	1	0	0	0	2	11	4	42	36	6	6	8	1	0	2	2	10	0	2	0	1	0	1	0	0	0	0	0	0	3645	1018588	10426	11264	21508	39432	5.415.116	1798133	328972	4956478	2065114	3798	-32181	-33632	-33808	0	1	8333	1	1	1	1	1	9762	3333	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0
